['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 56.8, '2025-06-17 12:59:21.290614']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-17 12:59:32.822872']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-17 12:59:37.534303']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-17 12:59:45.215363']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-17 13:24:34.193991']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-17 13:25:27.233583']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-17 13:25:49.367156']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-17 13:25:56.046925']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-17 18:07:37.939929']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.8, '2025-06-17 18:07:44.108518']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-17 18:09:12.672140']
['UID: ', ['0x4', '0x82', '0xd8', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-17 18:09:32.028722']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-17 18:09:35.334274']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-18 09:57:17.123669']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-18 09:57:23.858498']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-18 09:59:41.659728']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-18 10:01:29.394797']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 56.2, '2025-06-18 10:09:44.925808']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 56.2, '2025-06-18 10:57:25.682797']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 12:00:28.838419']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 12:20:45.473496']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 13:03:40.590265']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-18 13:04:27.993140']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 13:04:45.548113']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 13:04:57.009611']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 13:05:49.216192']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-18 13:24:47.767148']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.3, '2025-06-18 13:26:26.604756']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 56.8, '2025-06-18 13:29:00.992312']
['UID: ', ['0x4', '0xa1', '0xe2', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 13:29:10.364013']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 13:30:32.709935']
['UID: ', ['0x4', '0x20', '0xa3', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-18 15:24:44.589170']
['UID: ', ['0x4', '0xd3', '0xad', '0xba', '0xa3', '0xf', '0x90'], 57.3, '2025-06-18 15:25:10.785786']
['UID: ', ['0x4', '0x2c', '0xf0', '0xba', '0xa3', '0xf', '0x91'], 57.8, '2025-06-18 15:25:16.387340']
['UID: ', ['0x4', '0xfb', '0xed', '0xba', '0xa3', '0xf', '0x90'], 57.8, '2025-06-18 15:25:22.827106']
['UID: ', ['0x4', '0xfc', '0xe5', '0xba', '0xa3', '0xf', '0x90'], 58.4, '2025-06-18 15:25:29.735971']
